Loading model from /srv/profitlab_quantum/artifacts/ppo/ppo.pt
SYMBOL     | PROFIT     | ROI      | DD     | TRADES | WR    
-----------------------------------------------------------------
ADA        | -801.08    | -80.1  % | 93.6 % | 1      | 0.0  %
APT        | -1261.88   | -126.2 % | 127.7% | 1      | 0.0  %
ARB        | -845.36    | -84.5  % | 108.2% | 1      | 0.0  %
AVAX       | -624.96    | -62.5  % | 91.7 % | 2      | 0.0  %
BCH        | 428.29     | 42.8   % | 50.8 % | 6      | 83.3 %
BNB        | 571.10     | 57.1   % | 56.1 % | 2      | 100.0%
BTC        | -375.38    | -37.5  % | 63.0 % | 1      | 0.0  %
DOGE       | -539.16    | -53.9  % | 86.6 % | 1      | 0.0  %
DOT        | -956.49    | -95.6  % | 107.5% | 1      | 0.0  %
ETC        | -583.94    | -58.4  % | 95.5 % | 1      | 0.0  %
ETH        | 329.33     | 32.9   % | 63.1 % | 1      | 100.0%
FIL        | -852.23    | -85.2  % | 126.0% | 2      | 0.0  %
GRT        | -1191.26   | -119.1 % | 110.5% | 1      | 0.0  %
HBAR       | -574.39    | -57.4  % | 88.9 % | 1      | 0.0  %
ICP        | -832.71    | -83.3  % | 117.1% | 2      | 0.0  %
INJ        | -1209.60   | -121.0 % | 116.3% | 1      | 0.0  %
LINK       | -165.61    | -16.6  % | 78.6 % | 1      | 0.0  %
LTC        | -225.96    | -22.6  % | 69.2 % | 2      | 0.0  %
NEAR       | -622.00    | -62.2  % | 86.3 % | 1      | 0.0  %
OP         | -1013.37   | -101.3 % | 103.5% | 2      | 0.0  %
SHIB       | -771.00    | -77.1  % | 87.7 % | 2      | 0.0  %
SOL        | -347.45    | -34.7  % | 76.7 % | 1      | 0.0  %
STX        | -1247.47   | -124.7 % | 117.0% | 1      | 0.0  %
TRX        | -6.60      | -0.7   % | 43.6 % | 1      | 0.0  %
UNI        | -376.52    | -37.7  % | 102.1% | 8      | 50.0 %
VET        | -960.27    | -96.0  % | 104.2% | 3      | 0.0  %
XLM        | -265.25    | -26.5  % | 79.8 % | 1      | 0.0  %
XRP        | -325.64    | -32.6  % | 74.1 % | 1      | 0.0  %
-----------------------------------------------------------------
TOTAL PORTFOLIO: Invested=28000.00 | Profit=-15646.89 | ROI=-55.88%
