Loading model from /srv/profitlab_quantum/artifacts/ppo/ppo.pt
Loading BTC Context...
SYMBOL     | PROFIT     | ROI      | DD     | TRADES | WR    
-----------------------------------------------------------------
ADA        | -801.08    | -80.1  % | 93.6 % | 1      | 0.0  %
APT        | -1261.88   | -126.2 % | 127.7% | 1      | 0.0  %
ARB        | -845.36    | -84.5  % | 108.2% | 1      | 0.0  %
AVAX       | -624.96    | -62.5  % | 91.7 % | 2      | 0.0  %
BCH        | 417.17     | 41.7   % | 50.3 % | 3      | 66.7 %
BNB        | 628.75     | 62.9   % | 55.4 % | 1      | 100.0%
BTC        | -495.35    | -49.5  % | 68.6 % | 2      | 50.0 %
DOGE       | -539.16    | -53.9  % | 86.6 % | 1      | 0.0  %
DOT        | -918.50    | -91.8  % | 105.3% | 3      | 0.0  %
ETC        | -579.93    | -58.0  % | 95.0 % | 4      | 25.0 %
ETH        | 329.33     | 32.9   % | 63.1 % | 1      | 100.0%
FIL        | -867.69    | -86.8  % | 127.4% | 1      | 0.0  %
GRT        | -1152.06   | -115.2 % | 108.2% | 4      | 25.0 %
HBAR       | -554.04    | -55.4  % | 88.3 % | 2      | 0.0  %
ICP        | -843.72    | -84.4  % | 118.1% | 1      | 0.0  %
INJ        | -1210.30   | -121.0 % | 116.4% | 1      | 0.0  %
LINK       | -165.61    | -16.6  % | 78.6 % | 1      | 0.0  %
LTC        | -234.00    | -23.4  % | 69.7 % | 1      | 0.0  %
NEAR       | -623.88    | -62.4  % | 86.4 % | 1      | 0.0  %
OP         | -1033.10   | -103.3 % | 104.5% | 1      | 0.0  %
SHIB       | -791.38    | -79.1  % | 88.8 % | 1      | 0.0  %
SOL        | -347.45    | -34.7  % | 76.7 % | 1      | 0.0  %
STX        | -1247.47   | -124.7 % | 117.0% | 1      | 0.0  %
TRX        | -67.32     | -6.7   % | 45.1 % | 2      | 50.0 %
UNI        | -320.08    | -32.0  % | 99.8 % | 3      | 0.0  %
VET        | -973.97    | -97.4  % | 105.0% | 2      | 0.0  %
XLM        | -247.45    | -24.7  % | 79.4 % | 2      | 0.0  %
XRP        | -325.64    | -32.6  % | 74.1 % | 1      | 0.0  %
-----------------------------------------------------------------
TOTAL PORTFOLIO: Invested=28000.00 | Profit=-15696.13 | ROI=-56.06%
