2026-04-25 06:58:28,729 - ShadowDaemon - INFO - 🤖 Iniciando Shadow Evaluator V4.2 - Cargando Matrix...
2026-04-25 07:00:04,377 - ShadowDaemon - INFO - == [TICK] Símbolo: HBAR/USDT | Precio: $0.0911 ==
2026-04-25 07:00:04,377 - ShadowDaemon - INFO -   ➜ Acción IA: 1 | Shadow Bal: $999.50 | P(hold): 25.55% | Avg Hold: 0.0 velas
2026-04-25 07:05:07,571 - ShadowDaemon - INFO - == [TICK] Símbolo: HBAR/USDT | Precio: $0.0910 ==
2026-04-25 07:05:07,571 - ShadowDaemon - INFO -   ➜ Acción IA: 1 | Shadow Bal: $999.50 | P(hold): 25.55% | Avg Hold: 0.0 velas
2026-04-25 07:06:14,909 - ShadowDaemon - INFO - 🤖 Iniciando Shadow Evaluator V4.2 - Cargando Matrix...
2026-04-25 07:10:04,578 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:15:07,824 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:20:05,355 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:25:03,660 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:30:07,452 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:35:05,225 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:40:03,352 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:45:07,156 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:50:06,598 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 07:55:05,629 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:00:03,347 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:05:05,934 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:10:03,368 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:15:06,569 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:20:05,028 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:25:02,627 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:30:04,977 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:35:07,566 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:40:05,746 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:45:03,695 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:50:06,305 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 08:55:03,801 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:00:06,800 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:05:05,175 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:10:02,736 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:15:05,262 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:20:02,613 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:25:05,646 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:30:04,579 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:35:07,200 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:40:05,026 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:45:02,654 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:50:06,107 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 09:55:04,303 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:00:07,535 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:05:05,210 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:10:02,667 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:15:06,765 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:20:04,996 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:25:02,556 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:30:05,106 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:35:03,442 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:40:05,791 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:45:03,951 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:50:06,640 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 10:55:04,202 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:00:06,974 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:05:04,327 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:10:06,910 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:15:04,533 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:20:07,890 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:25:05,224 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:30:02,782 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:35:05,810 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:40:04,629 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:45:07,153 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:50:05,064 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 11:55:02,681 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:00:06,565 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:05:04,675 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:10:07,251 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:15:06,165 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:20:05,051 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:25:02,580 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:30:06,020 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:35:03,386 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:40:05,951 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:45:03,930 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:50:06,543 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 12:55:04,967 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:00:07,572 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:05:05,837 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:10:03,258 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:15:06,906 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
2026-04-25 13:20:05,094 - ShadowDaemon - ERROR - Error en el ciclo asíncrono: Error: Unexpected observation shape (1, 1300) for Box environment, please use (50, 26) or (n_env, 50, 26) for the observation shape.
